# Zu löschende Zutaten (Vorschlag der AI)
# Lösche Zeilen für Zutaten, die du BEHALTEN willst
# Format: pk|name|description

348|Backmischung Schokokuchen|Lindt Patisserie Cuore Caldo 240g - LINDT - Preparato per Cuore Di Cioccolato - BACKMISCHUNGEN
349|Weihnachtssüßigkeit|Ferrero Kinder Maxi Plüschtiere 133g - KINDER MIX - Kinder Maxi Mix - 133 g - WEIHNACHTS-ARTIKEL V-MWST.
684|Süße Creme Erdnuss-Kakao|Erdnuss & Kakao - BONNE MAMAN - Erdnuss & Kakao Creme - Süße Cremes
2578|Jalapeño in Scheiben|Kühne Jalapeno feurig-scharf 370ml - Kühne - Feurig scharfe Jalapeño in Scheiben - SONSTIGE SAUERKONSERVEN
735|Pizza Gemüse vegan (TK)|followfood Bio Verdura vegan 339g - followfood - Verdura Vegan - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
640|Schwarzwälder Kirschtorte (TK)|Coppenrath & Wiese Cafeteria Fein & Sahnig Schwarzwälder-Kirsch 500g - Conditorei Coppenrath & Wiese - Schwarzwälder Kirsch-Blechkuchen tiefgefroren - TK-KUCHEN/TORTEN MIT ALKOHOL
385|Mandarinenfrischkäsetorte (TK)|Coppenrath & Wiese Meistertorte Mandarine-Frischkäse 1,1kg - Conditorei Coppenrath & Wiese - Mandarinen-Frischkäsetorte - TK-TORTEN/KUCHEN
776|Sushi|REWE to go Susi Momi 235g Packung - REWE to go - Momi Sushi Sushi-Box - SOFORTV. SUSHI-SB
787|Veganes Sushi|REWE to go Sushi Kami Vegan 185g - REWE to go - Kami Sushi, Sushi-Box - SOFORTV. SUSHI-SB
794|Hähnchen Cordon Bleu (TK)|ja! Hähnchenschnitten Cordon Bleu 500g - Ja! - Hänchen Schnitten Cordon bleu Art - TK-HAEHNCHENTEILE/CONVENIENCE
