# Vorschlagsliste: zu loeschende/zu pruefende Zutaten (supply.ingredient)
# Kriterien: (1) TK-Pizzen, (2) Pralinen, (3) selten/exotisch - kaum im Supermarkt erhaeltlich,
# (4) zu viele Geschmacksvarianten innerhalb einer Kategorie (Schokolade, Muesli, Joghurt, Frischkaese,
#     Wurst/Salami, Kaffee, Konfituere, Pesto, Fruchtgummi/Bonbon) - Grundsortiment reicht meist.
# Loesche Zeilen fuer Zutaten, die du BEHALTEN willst. Format: pk|name|grund

3086|Knusperpralinen Schokolade|Praline - kein Lagerartikel fuers Zeltlager
313|Pralinen|Praline - kein Lagerartikel fuers Zeltlager
5904|Pralinen Cookies & Cream|Praline - kein Lagerartikel fuers Zeltlager
569|Pralinen Creola|Praline - kein Lagerartikel fuers Zeltlager
1113|Pralinen Doppelschoko|Praline - kein Lagerartikel fuers Zeltlager
2526|Pralinen Erdbeere weiße Schokolade|Praline - kein Lagerartikel fuers Zeltlager
5953|Pralinen Haselnuss|Praline - kein Lagerartikel fuers Zeltlager
2505|Pralinen Himbeere|Praline - kein Lagerartikel fuers Zeltlager
582|Pralinen Küsschen|Praline - kein Lagerartikel fuers Zeltlager
2139|Pralinen Mix|Praline - kein Lagerartikel fuers Zeltlager
1247|Pralinen Nougat|Praline - kein Lagerartikel fuers Zeltlager
3120|Pralinen Pfefferminz|Praline - kein Lagerartikel fuers Zeltlager
5903|Pralinen Sahne-Cacao|Praline - kein Lagerartikel fuers Zeltlager
2657|Pralinen Schaumzucker|Praline - kein Lagerartikel fuers Zeltlager
379|Pralinen Trüffel|Praline - kein Lagerartikel fuers Zeltlager
2769|Pralinen Weiße Schokolade|Praline - kein Lagerartikel fuers Zeltlager
2920|Pralinen Weiße Schokolade Crispy|Praline - kein Lagerartikel fuers Zeltlager
3132|Pralinenmischung|Praline - kein Lagerartikel fuers Zeltlager
2986|Schokoladenpralinen|Praline - kein Lagerartikel fuers Zeltlager
2988|Schokoladenpralinen Erdbeer-Rahm|Praline - kein Lagerartikel fuers Zeltlager
4228|Schokoladenpralinen Frucht|Praline - kein Lagerartikel fuers Zeltlager
3534|Schokopralinen Cookie Dough Erdnuss|Praline - kein Lagerartikel fuers Zeltlager
617|Aroniabeeren getrocknet|Selten/exotisch - kaum im Supermarkt (Aronia)
3429|Getreideriegel Traube-Aronia-Banane Bio|Selten/exotisch - kaum im Supermarkt (Aronia)
7307|Bambussprossen|Selten/exotisch - kaum im Supermarkt (Bambussprossen)
840|Black Bean Spaghetti|Selten/exotisch - kaum im Supermarkt (Black Bean)
2668|Vegane Käsescheiben Bockshornklee|Selten/exotisch - kaum im Supermarkt (Bockshornklee)
5349|Bulgur Bio|Selten/exotisch - kaum im Supermarkt (Bulgur)
4567|Bulgursalat mit Paprika|Selten/exotisch - kaum im Supermarkt (Bulgur)
1820|Bulgursalat-Mix|Selten/exotisch - kaum im Supermarkt (Bulgur)
2615|Linsen-Bulgur-Salat|Selten/exotisch - kaum im Supermarkt (Bulgur)
2852|Edamame (Glas)|Selten/exotisch - kaum im Supermarkt (Edamame)
4321|Edamame Bio (Dose)|Selten/exotisch - kaum im Supermarkt (Edamame)
1622|Edamame-Spaghetti|Selten/exotisch - kaum im Supermarkt (Edamame)
884|Nudeln aus Edamame|Selten/exotisch - kaum im Supermarkt (Edamame)
1631|Fuet (spanische Minisalami)|Selten/exotisch - kaum im Supermarkt (Fuet)
1227|Gyoza|Selten/exotisch - kaum im Supermarkt (Gyoza)
2434|Harissa (Chilipaste)|Selten/exotisch - kaum im Supermarkt (Harissa)
2383|Hummus Harissa|Selten/exotisch - kaum im Supermarkt (Harissa)
959|Jackfruit natur|Selten/exotisch - kaum im Supermarkt (Jackfruit)
851|Jackfruit-Burger vegan|Selten/exotisch - kaum im Supermarkt (Jackfruit)
3719|Kabanos (Salami-Stick)|Selten/exotisch - kaum im Supermarkt (Kabanos)
1879|Letscho|Selten/exotisch - kaum im Supermarkt (Letscho)
969|Gemüse-Mandu (TK)|Selten/exotisch - kaum im Supermarkt (Mandu)
704|Manouri|Selten/exotisch - kaum im Supermarkt (Manouri)
5786|Instant-Nudeln Miso Ramen|Selten/exotisch - kaum im Supermarkt (Miso)
439|Mochi-Eis Erdbeere|Selten/exotisch - kaum im Supermarkt (Mochi)
847|Mochi-Eis Mango|Selten/exotisch - kaum im Supermarkt (Mochi)
2742|Reneklodenkonfitüre|Selten/exotisch - kaum im Supermarkt (Reneklode)
795|Hartkäse Salgiano|Selten/exotisch - kaum im Supermarkt (Salgiano)
6803|Seidentofu|Selten/exotisch - kaum im Supermarkt (Seidentofu)
6379|Instant-Nudeln Chicken Sriracha|Selten/exotisch - kaum im Supermarkt (Sriracha)
6975|Sriracha-Sauce|Selten/exotisch - kaum im Supermarkt (Sriracha)
5392|Hummus Tahina|Selten/exotisch - kaum im Supermarkt (Tahin)
6850|Sesammus (Tahin)|Selten/exotisch - kaum im Supermarkt (Tahin)
1813|Sesampaste (Tahini)|Selten/exotisch - kaum im Supermarkt (Tahin)
1001|Tahin Sesammus|Selten/exotisch - kaum im Supermarkt (Tahin)
182|Tahini|Selten/exotisch - kaum im Supermarkt (Tahin)
729|Tempeh gegrillt|Selten/exotisch - kaum im Supermarkt (Tempeh)
1144|Erbsen mit Wasabi|Selten/exotisch - kaum im Supermarkt (Wasabi)
1384|Erdnüsse Wasabi|Selten/exotisch - kaum im Supermarkt (Wasabi)
4458|Wasabi-Nüsse|Selten/exotisch - kaum im Supermarkt (Wasabi)
1944|Wasabi-Paste|Selten/exotisch - kaum im Supermarkt (Wasabi)
1810|Ziegenfrischkäse|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
4043|Ziegenfrischkäse Bio|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
1864|Ziegenfrischkäse Honig|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
1496|Ziegenfrischkäse Kräuter|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
2859|Ziegenfrischkäse Pfeffer Bio|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
3431|Ziegenfrischkäse natur|Selten/exotisch - kaum im Supermarkt (Ziegenfrischkäse)
717|Erdnussbutter Protein|Spezialvariante (Protein) - Basis Erdnussbutter reicht
1375|Mini-Pizza Bolognese (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1442|Mini-Pizza Margherita (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
3217|Mini-Pizza Salami (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1463|Mini-Pizza Spinat Creamy (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
4440|Minipizza Schinken-Sauerrahm (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
731|Pizza (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1345|Pizza Funghi Bio (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1459|Pizza Fünf Käse (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
830|Pizza Grillgemüse (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1336|Pizza Käse-Ricotta (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1172|Pizza Margherita glutenfrei (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1189|Pizza Pancetta (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1184|Pizza Peperoni (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
682|Pizza Prosciutto Ananas (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1170|Pizza Pulled Pork (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1182|Pizza Putensalami (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1407|Pizza Quattro Stagioni (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
965|Pizza Rindersalami (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1185|Pizza Rucola-Pesto (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
3862|Pizza Salame (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
4048|Pizza Salame-Mozzarella-Pesto (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
893|Pizza Salami (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1293|Pizza Spargel-Schinken (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1814|Pizza Speciale extra luftig (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
3531|Pizza Spinaci (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1518|Pizza Spinat-Feta (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
4589|Pizza Tex-Mex (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1161|Pizza Thunfisch (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
722|Pizza Vegetariana Bio (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1774|Pizza extra luftig (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
1357|Pizza vegan Filetstückchen (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
4336|Pizza-Brötchen natur (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
4437|Steinofenpizza Peperoni (TK)|TK-Pizza - User-Wunsch: keine TK-Pizzen
2487|Blattspinat mit Frischkäse (TK)|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
7000|Frischkäse 0,2%|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
5270|Frischkäse Elsässer Flammkuchen|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
3020|Frischkäse Feine Kräuter|Zu viele Varianten in Kategorie "Frischkäse" - Grundsortiment reicht
